alpha,-2,,alpha ,0,,alpha ,5,,alpha,10,,alpha,15,,alpha,17,
x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp
0.24941,0.0698,-0.27717,0.24941,0.0698,-0.43549,0.24941,0.0698,-0.85318,0.24941,0.0698,-1.14195,0.24941,0.0698,-1.17109,0.24941,0.0698,-2.82585
0.23366,0.06839,-0.26297,0.23366,0.06839,-0.42756,0.23366,0.06839,-0.86312,0.23366,0.06839,-1.17291,0.23366,0.06839,-1.22811,0.23366,0.06839,-2.9266
0.21796,0.06682,-0.24783,0.21796,0.06682,-0.4191,0.21796,0.06682,-0.87469,0.21796,0.06682,-1.20629,0.21796,0.06682,-1.2881,0.21796,0.06682,-3.03851
0.20233,0.06508,-0.23174,0.20233,0.06508,-0.4103,0.20233,0.06508,-0.8879,0.20233,0.06508,-1.24537,0.20233,0.06508,-1.35336,0.20233,0.06508,-3.16161
0.18679,0.06316,-0.21499,0.18679,0.06316,-0.40116,0.18679,0.06316,-0.90314,0.18679,0.06316,-1.28625,0.18679,0.06316,-1.42324,0.18679,0.06316,-3.30143
0.17139,0.06108,-0.19637,0.17139,0.06108,-0.39135,0.17139,0.06108,-0.92013,0.17139,0.06108,-1.33376,0.17139,0.06108,-1.50258,0.17139,0.06108,-3.45806
0.15614,0.05882,-0.17621,0.15614,0.05882,-0.3805,0.15614,0.05882,-0.93956,0.15614,0.05882,-1.38635,0.15614,0.05882,-1.58629,0.15614,0.05882,-3.63233
0.1411,0.05638,-0.15426,0.1411,0.05638,-0.36877,0.1411,0.05638,-0.96175,0.1411,0.05638,-1.44357,0.1411,0.05638,-1.68215,0.1411,0.05638,-3.82759
0.12635,0.05376,-0.12943,0.12635,0.05376,-0.35588,0.12635,0.05376,-0.98702,0.12635,0.05376,-1.51143,0.12635,0.05376,-1.79098,0.12635,0.05376,-4.05196
0.11198,0.05096,-0.1015,0.11198,0.05096,-0.33996,0.11198,0.05096,-1.01532,0.11198,0.05096,-1.58499,0.11198,0.05096,-1.91136,0.11198,0.05096,-4.3201
0.09813,0.048,-0.06925,0.09813,0.048,-0.32227,0.09813,0.048,-1.04787,0.09813,0.048,-1.67051,0.09813,0.048,-2.04998,0.09813,0.048,-4.5935
0.08498,0.04493,-0.03421,0.08498,0.04493,-0.30284,0.08498,0.04493,-1.0866,0.08498,0.04493,-1.76658,0.08498,0.04493,-2.20924,0.08498,0.04493,-4.88727
0.07279,0.04181,0.00355,0.07279,0.04181,-0.28275,0.07279,0.04181,-1.1317,0.07279,0.04181,-1.88031,0.07279,0.04181,-2.39536,0.07279,0.04181,-5.2552
0.0618,0.03873,0.04451,0.0618,0.03873,-0.26088,0.0618,0.03873,-1.18266,0.0618,0.03873,-2.00506,0.0618,0.03873,-2.60187,0.0618,0.03873,-8.33922
0.05215,0.03575,0.08903,0.05215,0.03575,-0.23545,0.05215,0.03575,-1.23707,0.05215,0.03575,-2.13779,0.05215,0.03575,-2.83124,0.05215,0.03575,-7.95459
0.04383,0.03292,0.13776,0.04383,0.03292,-0.20619,0.04383,0.03292,-1.29452,0.04383,0.03292,-2.26812,0.04383,0.03292,-3.07919,0.04383,0.03292,-7.99472
0.03674,0.03028,0.19088,0.03674,0.03028,-0.17323,0.03674,0.03028,-1.35686,0.03674,0.03028,-2.43081,0.03674,0.03028,-3.35363,0.03674,0.03028,-8.17647
0.03073,0.02783,0.2456,0.03073,0.02783,-0.13724,0.03073,0.02783,-1.42488,0.03073,0.02783,-2.76359,0.03073,0.02783,-3.69189,0.03073,0.02783,-8.2414
0.02561,0.02556,0.29756,0.02561,0.02556,-0.10724,0.02561,0.02556,-1.50429,0.02561,0.02556,-3.50439,0.02561,0.02556,-4.20321,0.02561,0.02556,-7.64166
0.02124,0.02347,0.34747,0.02124,0.02347,-0.0814,0.02124,0.02347,-1.59289,0.02124,0.02347,-3.97593,0.02124,0.02347,-5.08531,0.02124,0.02347,-8.66045
0.01748,0.02148,0.40081,0.01748,0.02148,-0.0505,0.01748,0.02148,-1.68565,0.01748,0.02148,-4.01659,0.01748,0.02148,-6.41299,0.01748,0.02148,-10.34797
0.01424,0.01956,0.46787,0.01424,0.01956,-0.0012,0.01424,0.01956,-1.76585,0.01424,0.01956,-4.06293,0.01424,0.01956,-6.54487,0.01424,0.01956,-11.88457
0.01144,0.01768,0.54478,0.01144,0.01768,0.06563,0.01144,0.01768,-1.83027,0.01144,0.01768,-4.13103,0.01144,0.01768,-6.57132,0.01144,0.01768,-11.95734
0.009,0.01583,0.62441,0.009,0.01583,0.13932,0.009,0.01583,-1.89624,0.009,0.01583,-4.24489,0.009,0.01583,-6.60457,0.009,0.01583,-12.03441
0.00688,0.014,0.70809,0.00688,0.014,0.22079,0.00688,0.014,-1.95859,0.00688,0.014,-4.43747,0.00688,0.014,-6.6722,0.00688,0.014,-12.17696
0.00507,0.01216,0.79472,0.00507,0.01216,0.32451,0.00507,0.01216,-1.97545,0.00507,0.01216,-4.72039,0.00507,0.01216,-6.85034,0.00507,0.01216,-12.41409
0.00358,0.01028,0.88626,0.00358,0.01028,0.46544,0.00358,0.01028,-1.85922,0.00358,0.01028,-4.87412,0.00358,0.01028,-7.21161,0.00358,0.01028,-12.90526
0.00237,0.00838,0.95778,0.00237,0.00838,0.61869,0.00237,0.00838,-1.63205,0.00237,0.00838,-4.78935,0.00237,0.00838,-7.50093,0.00237,0.00838,-13.40989
0.00142,0.00647,0.99775,0.00142,0.00647,0.75455,0.00142,0.00647,-1.38247,0.00142,0.00647,-4.63701,0.00142,0.00647,-7.52671,0.00142,0.00647,-13.68775
0.00072,0.00458,0.99782,0.00072,0.00458,0.86876,0.00072,0.00458,-1.10301,0.00072,0.00458,-4.37463,0.00072,0.00458,-7.46071,0.00072,0.00458,-13.73997
0.00026,0.00272,0.95189,0.00026,0.00272,0.9531,0.00026,0.00272,-0.79814,0.00026,0.00272,-4.04253,0.00026,0.00272,-7.14761,0.00026,0.00272,-13.56591
0.00003,0.0009,0.85539,0.00003,0.0009,0.99791,0.00003,0.0009,-0.46888,0.00003,0.0009,-3.53691,0.00003,0.0009,-6.68724,0.00003,0.0009,-12.99867
0.00003,-0.0009,0.71586,0.00003,-0.0009,0.99778,0.00003,-0.0009,-0.12411,0.00003,-0.0009,-2.92165,0.00003,-0.0009,-5.93953,0.00003,0,-11.83907
0.00026,-0.00272,0.54308,0.00026,-0.00272,0.95335,0.00026,-0.00272,0.21085,0.00026,-0.00272,-2.25442,0.00026,-0.00272,-4.93319,0.00026,0,-10.35326
0.00072,-0.00458,0.35416,0.00072,-0.00458,0.86928,0.00072,-0.00458,0.48635,0.00072,-0.00458,-1.53176,0.00072,-0.00458,-3.94623,0.00072,-0.00458,-8.73505
0.00142,-0.00647,0.15227,0.00142,-0.00647,0.75428,0.00142,-0.00647,0.70656,0.00142,-0.00647,-0.95806,0.00142,-0.00647,-3.01375,0.00142,-0.00647,-7.15377
0.00237,-0.00838,-0.05616,0.00237,-0.00838,0.61783,0.00237,-0.00838,0.85705,0.00237,-0.00838,-0.44409,0.00237,-0.00838,-2.22795,0.00237,-0.00838,-5.81292
0.00358,-0.01028,-0.25612,0.00358,-0.01028,0.46664,0.00358,-0.01028,0.95022,0.00358,-0.01028,-0.0356,0.00358,-0.01028,-1.49129,0.00358,-0.01028,-4.56426
0.00507,-0.01216,-0.41681,0.00507,-0.01216,0.32361,0.00507,-0.01216,0.99709,0.00507,-0.01216,0.33249,0.00507,-0.01216,-0.86147,0.00507,-0.01216,-3.30459
0.00688,-0.014,-0.49665,0.00688,-0.014,0.22162,0.00688,-0.014,1.00172,0.00688,-0.014,0.59042,0.00688,-0.014,-0.2842,0.00688,-0.014,-2.24369
0.009,-0.01583,-0.54308,0.009,-0.01583,0.13898,0.009,-0.01583,0.97921,0.009,-0.01583,0.77667,0.009,-0.01583,0.12,0.009,-0.01583,-1.39602
0.01144,-0.01768,-0.58213,0.01144,-0.01768,0.06598,0.01144,-0.01768,0.94067,0.01144,-0.01768,0.8885,0.01144,-0.01768,0.40935,0.01144,-0.01768,-0.771
0.01424,-0.01956,-0.61448,0.01424,-0.01956,-0.0015,0.01424,-0.01956,0.89161,0.01424,-0.01956,0.95895,0.01424,-0.01956,0.63054,0.01424,-0.01956,-0.30244
0.01748,-0.02148,-0.62624,0.01748,-0.02148,-0.05089,0.01748,-0.02148,0.83681,0.01748,-0.02148,0.99321,0.01748,-0.02148,0.77878,0.01748,-0.02148,0.09425
0.02124,-0.02347,-0.61704,0.02124,-0.02347,-0.08144,0.02124,-0.02347,0.78216,0.02124,-0.02347,1.0036,0.02124,-0.02347,0.88526,0.02124,-0.02347,0.37655
